officer_id,officer_name,branch_id,hire_date,region
1,Officer_1,1,2025-04-14T17:09:49.319120,Central
2,Officer_2,1,2024-10-25T17:09:49.319120,Central
3,Officer_3,1,2022-05-10T17:09:49.319120,Central
4,Officer_4,2,2021-07-07T17:09:49.319120,East
5,Officer_5,2,2022-07-28T17:09:49.319120,East
6,Officer_6,2,2022-08-01T17:09:49.319120,East
7,Officer_7,3,2021-07-05T17:09:49.319120,Central
8,Officer_8,3,2023-10-31T17:09:49.319120,Central
9,Officer_9,3,2022-04-15T17:09:49.319120,Central
10,Officer_10,4,2023-06-16T17:09:49.319120,West
11,Officer_11,4,2024-04-12T17:09:49.319120,West
12,Officer_12,4,2023-05-20T17:09:49.319120,West
13,Officer_13,5,2024-12-08T17:09:49.319120,West
14,Officer_14,5,2024-10-29T17:09:49.319120,West
15,Officer_15,5,2022-08-27T17:09:49.319120,West
16,Officer_16,6,2024-08-22T17:09:49.319120,West
17,Officer_17,6,2023-02-23T17:09:49.319120,West
18,Officer_18,6,2021-11-01T17:09:49.319120,West
19,Officer_19,7,2024-02-18T17:09:49.319120,West
20,Officer_20,7,2021-11-20T17:09:49.319120,West
21,Officer_21,7,2022-08-06T17:09:49.319120,West
22,Officer_22,8,2024-07-27T17:09:49.319120,East
23,Officer_23,8,2023-05-30T17:09:49.319120,East
24,Officer_24,8,2024-06-15T17:09:49.319120,East
25,Officer_25,9,2022-12-22T17:09:49.319120,North
26,Officer_26,9,2022-06-07T17:09:49.319120,North
27,Officer_27,9,2023-03-19T17:09:49.319120,North
28,Officer_28,10,2024-10-14T17:09:49.319120,Central
29,Officer_29,10,2023-04-16T17:09:49.319120,Central
30,Officer_30,10,2024-11-12T17:09:49.319120,Central
